,0,S1,S2,S4,S5,S8,S11,S12,S13,S14,S15
1250,AmnSINE1,1941,1245,1430,954,1824,1278,1431,1303,1671,1372
1251,X7D_LINE,0,4,0,4,0,0,8,0,0,0
1252,AmnSINE2,257,138,302,123,196,209,173,184,196,130
1253,Tigger3b,2000,2001,3393,1934,2190,1617,1932,2186,2512,1677
1254,MSTB-int,433,310,629,430,428,277,565,442,660,490
1255,MLT1L-int,0,4,28,19,0,0,8,12,0,0
1256,L1PA3,1250,1260,2066,1351,1417,912,1197,1147,1699,1050
1257,MamRep1894,154,63,140,80,92,36,120,84,114,62
1258,UCON20,0,11,0,0,0,0,0,8,0,0
1259,MER57E2,0,8,24,0,0,0,0,0,0,0
1260,MER99,20,12,65,35,103,8,60,27,43,28
1261,UCON50,8,8,16,0,0,0,0,4,0,0
1262,CRP1,0,0,8,0,0,0,4,0,0,0
1263,UCON44,8,12,16,0,0,0,0,0,12,0
1264,MLT1O-int,0,0,0,0,0,0,0,4,0,0
1265,MLT1H,2432,1708,2655,1588,2015,1678,1925,1817,2496,1395
1266,UCON47,123,39,101,20,99,43,55,35,62,20
